relative_path,mean_lad
./20181121_depthmap_0001_0563_no_lad.tif,0.015952196078431
./20181121_depthmap_0001_0564_no_lad.tif,0.024902431372549
./20181121_depthmap_0002_0563_no_lad.tif,0.272002352941176
./20181121_depthmap_0003_0562_no_lad.tif,0.701890196078431
./20181121_depthmap_0003_0563_no_lad.tif,0.505639215686274
./20181121_depthmap_0004_0562_no_lad.tif,0.709980392156863
./20181121_depthmap_0004_0563_no_lad.tif,0.607737254901961
./20181121_depthmap_0005_0562_no_lad.tif,0.269285098039216
./20181121_depthmap_0005_0563_no_lad.tif,0.22447568627451
./20181121_depthmap_0006_0561_no_lad.tif,0.479341176470588
./20181121_depthmap_0006_0562_no_lad.tif,0.364707058823529
./20181121_depthmap_0007_0561_no_lad.tif,0.122605882352941
./20181121_depthmap_0007_0562_no_lad.tif,0.008597098039216
./20181121_depthmap_0008_0561_no_lad.tif,0.006423568627451
./20181121_depthmap_0008_0562_no_lad.tif,0.005147843137255
./20181121_depthmap_0009_0561_no_lad.tif,0.037415843137255
./20181121_depthmap_0010_0560_no_lad.tif,0.143806666666667
./20181121_depthmap_0010_0561_no_lad.tif,0.046109803921569
./20181121_depthmap_0011_0560_no_lad.tif,0.204312156862745
./20181121_depthmap_0011_0561_no_lad.tif,0.184796862745098
./20181121_depthmap_0012_0560_no_lad.tif,0.510603921568627
./20181121_depthmap_0013_0559_no_lad.tif,0.279169019607843
./20181121_depthmap_0013_0560_no_lad.tif,0.083215294117647
./20181121_depthmap_0014_0559_no_lad.tif,0.336403137254902
./20181121_depthmap_0014_0560_no_lad.tif,0.024549294117647
./20181121_depthmap_0015_0559_no_lad.tif,0.009237529411765
./20181121_depthmap_0015_0560_no_lad.tif,0.091589019607843
./20181121_depthmap_0016_0558_no_lad.tif,0.000422380392157
./20181121_depthmap_0016_0559_no_lad.tif,0.012129098039216
./20181121_depthmap_0017_0558_no_lad.tif,0.066766274509804
./20181121_depthmap_0017_0559_no_lad.tif,0.059403529411765
./20181121_depthmap_0018_0558_no_lad.tif,0.043781176470588
./20181121_depthmap_0018_0559_no_lad.tif,0.000279618039216
./20181121_depthmap_0019_0557_no_lad.tif,0.038482039215686
./20181121_depthmap_0019_0558_no_lad.tif,0.032622392156863
./20181121_depthmap_0020_0557_no_lad.tif,0
./20181121_depthmap_0020_0558_no_lad.tif,0.012303764705882
./20181121_depthmap_0021_0557_no_lad.tif,0.060393333333333
./20181121_depthmap_0021_0558_no_lad.tif,0.060400784313726
./20181121_depthmap_0022_0557_no_lad.tif,0.005880196078431
./20181121_depthmap_0023_0556_no_lad.tif,0.065878039215686
./20181121_depthmap_0023_0557_no_lad.tif,0.092608235294118
