relative_path,mean_slope
./20181121_depthmap_0183_0509_no_r002_slo.tif,7.30745
./20181121_depthmap_1193_0208_no_r002_slo.tif,9.58821
./20181121_depthmap_0615_0380_no_r002_slo.tif,7.38462
./20181121_depthmap_0954_0279_no_r002_slo.tif,6.6243
./20181121_depthmap_0089_0537_no_r002_slo.tif,11.2601
./20181121_depthmap_1617_0086_no_r002_slo.tif,8.42419
./20181121_depthmap_0826_0317_no_r002_slo.tif,9.79427
./20181121_depthmap_1733_0052_no_r002_slo.tif,14.0882
./20181121_depthmap_0915_0290_no_r002_slo.tif,9.24514
./20181121_depthmap_0783_0330_no_r002_slo.tif,15.3626
./20181121_depthmap_1616_0085_no_r002_slo.tif,9.42633
./20181121_depthmap_0170_0513_no_r002_slo.tif,7.33976
./20181121_depthmap_0617_0380_no_r002_slo.tif,11.5371
./20181121_depthmap_0298_0475_no_r002_slo.tif,7.98455
./20181121_depthmap_0847_0310_no_r002_slo.tif,10.3409
./20181121_depthmap_0467_0425_no_r002_slo.tif,8.36781
./20181121_depthmap_0244_0491_no_r002_slo.tif,7.65706
./20181121_depthmap_1842_0021_no_r002_slo.tif,16.9581
./20181121_depthmap_1756_0046_no_r002_slo.tif,8.58637
./20181121_depthmap_0420_0439_no_r002_slo.tif,6.69838
./20181121_depthmap_0895_0296_no_r002_slo.tif,25.1995
./20181121_depthmap_0318_0469_no_r002_slo.tif,6.93293
./20181121_depthmap_0934_0285_no_r002_slo.tif,10.2791
./20181121_depthmap_1831_0024_no_r002_slo.tif,9.3683
./20181121_depthmap_0366_0454_no_r002_slo.tif,8.71052
./20181121_depthmap_1289_0181_no_r002_slo.tif,6.9871
./20181121_depthmap_1601_0090_no_r002_slo.tif,7.27889
./20181121_depthmap_1232_0198_no_r002_slo.tif,8.55971
./20181121_depthmap_0909_0292_no_r002_slo.tif,16.8304
./20181121_depthmap_0871_0304_no_r002_slo.tif,16.0212
./20181121_depthmap_1363_0159_no_r002_slo.tif,7.35896
./20181121_depthmap_0406_0443_no_r002_slo.tif,7.56561
./20181121_depthmap_1554_0104_no_r002_slo.tif,8.51209
./20181121_depthmap_1838_0022_no_r002_slo.tif,7.85806
./20181121_depthmap_0512_0412_no_r002_slo.tif,8.4302
./20181121_depthmap_0944_0283_no_r002_slo.tif,15.9411
./20181121_depthmap_0030_0555_no_r002_slo.tif,16.369
./20181121_depthmap_1427_0141_no_r002_slo.tif,8.70348
./20181121_depthmap_0512_0411_no_r002_slo.tif,6.91347
./20181121_depthmap_0006_0562_no_r002_slo.tif,14.5657
./20181121_depthmap_1259_0190_no_r002_slo.tif,7.93574
./20181121_depthmap_0786_0329_no_r002_slo.tif,7.30429
./20181121_depthmap_1865_0008_no_r002_slo.tif,8.33098
./20181121_depthmap_1698_0063_no_r002_slo.tif,10.6429
./20181121_depthmap_0430_0436_no_r002_slo.tif,6.17291
./20181121_depthmap_1293_0179_no_r002_slo.tif,9.88063
./20181121_depthmap_0288_0478_no_r002_slo.tif,8.68452
./20181121_depthmap_0117_0528_no_r002_slo.tif,8.96773
./20181121_depthmap_1446_0135_no_r002_slo.tif,6.25078
./20181121_depthmap_0057_0548_no_r002_slo.tif,13.3335
./20181121_depthmap_0261_0486_no_r002_slo.tif,7.48525
./20181121_depthmap_0552_0399_no_r002_slo.tif,8.90627
./20181121_depthmap_1292_0180_no_r002_slo.tif,6.57432
./20181121_depthmap_0007_0562_no_r002_slo.tif,24.3473
./20181121_depthmap_0829_0317_no_r002_slo.tif,8.73316
./20181121_depthmap_0267_0484_no_r002_slo.tif,7.03874
./20181121_depthmap_1654_0074_no_r002_slo.tif,7.936
./20181121_depthmap_0372_0453_no_r002_slo.tif,7.74401
./20181121_depthmap_0151_0518_no_r002_slo.tif,9.05423
./20181121_depthmap_0351_0460_no_r002_slo.tif,8.01095
./20181121_depthmap_1784_0037_no_r002_slo.tif,14.4912
./20181121_depthmap_1444_0136_no_r002_slo.tif,8.92578
./20181121_depthmap_0562_0396_no_r002_slo.tif,7.90546
./20181121_depthmap_0080_0539_no_r002_slo.tif,21.9548
./20181121_depthmap_0959_0277_no_r002_slo.tif,8.99999
./20181121_depthmap_1588_0094_no_r002_slo.tif,8.38561
./20181121_depthmap_0322_0467_no_r002_slo.tif,10.4574
./20181121_depthmap_1231_0198_no_r002_slo.tif,7.98102
./20181121_depthmap_0745_0341_no_r002_slo.tif,7.45847
./20181121_depthmap_1176_0214_no_r002_slo.tif,8.29208
./20181121_depthmap_0840_0314_no_r002_slo.tif,10.1337
./20181121_depthmap_1334_0168_no_r002_slo.tif,8.91894
./20181121_depthmap_1407_0146_no_r002_slo.tif,7.00528
./20181121_depthmap_1579_0097_no_r002_slo.tif,9.47398
./20181121_depthmap_1064_0247_no_r002_slo.tif,8.44555
./20181121_depthmap_1876_0005_no_r002_slo.tif,22.327
./20181121_depthmap_1665_0071_no_r002_slo.tif,11.3549
./20181121_depthmap_0202_0504_no_r002_slo.tif,8.82894
./20181121_depthmap_0231_0494_no_r002_slo.tif,7.86354
./20181121_depthmap_0517_0410_no_r002_slo.tif,7.94487
./20181121_depthmap_0304_0473_no_r002_slo.tif,7.46898
./20181121_depthmap_1173_0214_no_r002_slo.tif,7.90593
./20181121_depthmap_0923_0289_no_r002_slo.tif,12.6829
./20181121_depthmap_0624_0378_no_r002_slo.tif,8.54031
./20181121_depthmap_1700_0062_no_r002_slo.tif,11.1152
./20181121_depthmap_1640_0078_no_r002_slo.tif,9.38135
./20181121_depthmap_1310_0175_no_r002_slo.tif,8.91009
./20181121_depthmap_0667_0365_no_r002_slo.tif,8.6481
./20181121_depthmap_1162_0218_no_r002_slo.tif,9.26101
./20181121_depthmap_0436_0435_no_r002_slo.tif,17.504
./20181121_depthmap_0402_0444_no_r002_slo.tif,6.18702
./20181121_depthmap_0023_0556_no_r002_slo.tif,22.8683
./20181121_depthmap_0361_0456_no_r002_slo.tif,6.42044
./20181121_depthmap_1472_0128_no_r002_slo.tif,8.74901
./20181121_depthmap_0005_0563_no_r002_slo.tif,17.2534
./20181121_depthmap_1607_0088_no_r002_slo.tif,6.60616
./20181121_depthmap_1109_0233_no_r002_slo.tif,7.18743
./20181121_depthmap_0179_0510_no_r002_slo.tif,7.32467
./20181121_depthmap_1345_0164_no_r002_slo.tif,6.74363
./20181121_depthmap_1701_0062_no_r002_slo.tif,9.4771
./20181121_depthmap_0970_0275_no_r002_slo.tif,8.14316
./20181121_depthmap_1217_0202_no_r002_slo.tif,8.52524
./20181121_depthmap_0936_0285_no_r002_slo.tif,12.2143
./20181121_depthmap_1646_0077_no_r002_slo.tif,6.85542
./20181121_depthmap_1747_0048_no_r002_slo.tif,19.5731
./20181121_depthmap_1349_0163_no_r002_slo.tif,6.53919
./20181121_depthmap_0460_0427_no_r002_slo.tif,9.68359
./20181121_depthmap_0052_0548_no_r002_slo.tif,12.1518
./20181121_depthmap_0062_0545_no_r002_slo.tif,15.9518
./20181121_depthmap_0756_0338_no_r002_slo.tif,7.07388
./20181121_depthmap_0242_0491_no_r002_slo.tif,8.26366
./20181121_depthmap_1375_0155_no_r002_slo.tif,7.69881
./20181121_depthmap_0212_0500_no_r002_slo.tif,8.0362
./20181121_depthmap_1853_0018_no_r002_slo.tif,9.01151
./20181121_depthmap_0718_0350_no_r002_slo.tif,8.53882
./20181121_depthmap_0737_0344_no_r002_slo.tif,8.1304
./20181121_depthmap_0412_0441_no_r002_slo.tif,8.57064
./20181121_depthmap_0043_0552_no_r002_slo.tif,23.0131
./20181121_depthmap_1603_0089_no_r002_slo.tif,7.83558
./20181121_depthmap_0048_0550_no_r002_slo.tif,26.6582
./20181121_depthmap_0661_0367_no_r002_slo.tif,20.9992
./20181121_depthmap_0216_0499_no_r002_slo.tif,7.10791
./20181121_depthmap_0987_0269_no_r002_slo.tif,19.821
./20181121_depthmap_1263_0188_no_r002_slo.tif,6.34329
./20181121_depthmap_0119_0528_no_r002_slo.tif,6.80963
./20181121_depthmap_0501_0414_no_r002_slo.tif,9.23699
./20181121_depthmap_1103_0235_no_r002_slo.tif,6.16766
./20181121_depthmap_1714_0057_no_r002_slo.tif,8.35212
